UniProt_Proteome_ID	IDR_Long	IDR_Short
UP000202511	0.308	0.257
UP000001573	0.129	0.115
UP000203991	0.282	0.238
UP000018885	0.302	0.253
UP000203117	0.292	0.247
UP000031724	0.29	0.244
UP000031727	0.284	0.243
UP000031726	0.276	0.237
UP000201646	0.275	0.23
UP000204318	0.133	0.117
UP000001216	0.276	0.232
UP000001046	0.176	0.165
UP000017656	0.263	0.221
UP000005246	0.259	0.22
UP000008060	0.209	0.182
UP000203186	0.209	0.182
UP000204195	0.209	0.181
UP000030202	0.208	0.187
UP000008732	0.207	0.182
UP000019304	0.248	0.209
UP000011156	0.245	0.21
UP000201630	0.243	0.207
UP000017654	0.24	0.204
UP000028860	0.237	0.203
UP000028861	0.213	0.185
UP000007045	0.211	0.186
UP000201388	0.209	0.183
UP000002880	0.205	0.182
UP000027393	0.198	0.175
UP000028666	0.271	0.234
UP000002555	0.216	0.188
UP000009016	0.198	0.177
UP000001987	0.29	0.249
UP000005228	0.255	0.219
UP000002236	0.22	0.19
UP000006653	0.219	0.193
UP000001758	0.219	0.192
UP000008727	0.193	0.173
UP000007167	0.279	0.241
UP000003929	0.135	0.126
UP000008911	0.124	0.12
UP000008910	0.156	0.144
UP000002554	0.226	0.196
UP000203932	0.235	0.204
UP000003754	0.254	0.218
UP000201543	0.284	0.254
UP000204464	0.341	0.299
UP000203554	0.325	0.278
UP000203978	0.29	0.271
UP000201587	0.27	0.235
UP000203361	0.265	0.258
UP000201103	0.262	0.253
UP000204508	0.212	0.199
UP000201393	0.275	0.252
UP000027000	0.314	0.257
UP000031071	0.383	0.31
UP000018644	0.342	0.28
UP000002175	0.33	0.27
UP000201988	0.238	0.203
UP000002379	0.267	0.234
UP000015547	0.266	0.235
UP000017661	0.216	0.186
UP000006298	0.275	0.234
UP000027382	0.271	0.23
UP000002873	0.262	0.224
UP000001904	0.261	0.218
UP000203594	0.259	0.222
UP000201978	0.258	0.223
UP000033014	0.253	0.216
UP000007863	0.25	0.212
UP000011865	0.247	0.211
UP000005445	0.241	0.204
UP000006287	0.235	0.2
UP000006099	0.231	0.198
UP000006285	0.226	0.194
UP000002100	0.269	0.226
UP000030208	0.308	0.262
UP000030206	0.256	0.217
UP000030207	0.256	0.218
UP000204502	0.248	0.212
UP000033015	0.242	0.207
UP000033016	0.235	0.202
UP000009273	0.207	0.178
UP000012167	0.228	0.2
UP000010364	0.264	0.225
UP000030232	0.255	0.218
UP000017645	0.251	0.219
UP000009091	0.215	0.187
UP000008338	0.308	0.264
UP000214715	0.269	0.228
UP000014701	0.267	0.227
UP000017648	0.264	0.225
UP000001590	0.263	0.225
UP000207621	0.252	0.213
UP000002559	0.25	0.217
UP000203261	0.247	0.214
UP000001207	0.227	0.196
UP000000744	0.226	0.191
UP000002580	0.195	0.174
UP000011861	0.289	0.248
UP000202618	0.198	0.168
UP000002413	0.285	0.244
UP000001470	0.276	0.239
UP000202492	0.262	0.223
UP000028664	0.26	0.223
UP000007858	0.255	0.217
UP000002340	0.254	0.215
UP000006047	0.252	0.214
UP000203057	0.244	0.212
UP000027384	0.242	0.208
UP000203986	0.24	0.208
UP000201440	0.236	0.199
UP000026900	0.234	0.2
UP000204264	0.22	0.187
UP000017657	0.235	0.2
UP000015546	0.233	0.199
UP000002017	0.228	0.199
UP000007870	0.213	0.186
UP000202348	0.257	0.223
UP000005229	0.242	0.211
UP000002418	0.399	0.344
UP000001765	0.311	0.256
UP000108888	0.218	0.191
UP000109731	0.191	0.174
UP000146330	0.176	0.165
UP000133413	0.242	0.203
UP000132362	0.195	0.182
UP000146944	0.171	0.162
UP000000668	0.303	0.255
UP000203497	0.1	0.102
UP000185274	0.362	0.314
UP000171261	0.361	0.322
UP000140180	0.347	0.299
UP000185273	0.343	0.308
UP000162055	0.338	0.303
UP000006567	0.337	0.304
UP000174756	0.332	0.288
UP000135254	0.328	0.29
UP000007613	0.315	0.28
UP000123590	0.314	0.286
UP000146474	0.314	0.285
UP000144590	0.313	0.255
UP000052095	0.311	0.28
UP000140422	0.299	0.252
UP000134566	0.296	0.265
UP000129101	0.292	0.261
UP000109876	0.289	0.262
UP000108682	0.269	0.244
UP000131018	0.269	0.254
UP000008476	0.251	0.232
UP000117145	0.202	0.174
UP000121539	0.187	0.172
UP000172814	0.181	0.165
UP000154597	0.179	0.17
UP000156762	0.103	0.096
UP000201560	0.323	0.294
UP000160174	0.284	0.3
UP000201501	0.279	0.271
UP000204571	0.266	0.253
UP000113725	0.156	0.15
UP000202838	0.333	0.288
UP000173562	0.316	0.276
UP000202375	0.28	0.26
UP000202250	0.269	0.245
UP000202209	0.246	0.24
UP000202131	0.246	0.236
UP000202946	0.23	0.231
UP000201298	0.202	0.204
UP000204613	0.196	0.193
UP000207629	0.192	0.188
UP000207756	0.13	0.12
UP000204197	0.3	0.25
UP000015097	0.237	0.21
UP000015098	0.233	0.202
UP000208104	0.231	0.2
UP000015095	0.225	0.196
UP000204455	0.199	0.174
UP000202069	0.282	0.242
UP000002110	0.277	0.235
UP000008729	0.291	0.246
UP000001793	0.277	0.234
UP000001481	0.382	0.311
UP000009014	0.379	0.307
UP000007817	0.375	0.306
UP000001160	0.369	0.298
UP000016892	0.314	0.264
UP000001858	0.292	0.24
UP000009178	0.289	0.243
UP000007026	0.288	0.238
UP000009012	0.277	0.235
UP000009001	0.277	0.232
UP000001297	0.329	0.272
UP000001534	0.306	0.258
UP000002549	0.296	0.252
UP000000237	0.29	0.244
UP000002288	0.297	0.245
UP000013566	0.291	0.243
UP000007701	0.288	0.241
UP000001775	0.286	0.238
UP000002289	0.284	0.24
UP000030924	0.311	0.259
UP000000847	0.298	0.251
UP000000258	0.295	0.245
UP000007175	0.174	0.152
UP000005880	0.151	0.134
UP000019751	0.199	0.171
UP000002369	0.169	0.147
UP000000853	0.266	0.233
UP000002726	0.281	0.242
UP000008085	0.278	0.239
UP000008086	0.266	0.237
UP000011297	0.274	0.231
UP000011298	0.272	0.229
UP000011294	0.269	0.226
UP000011295	0.265	0.222
UP000014740	0.325	0.271
UP000000337	0.23	0.221
UP000000461	0.285	0.242
UP000000463	0.284	0.242
UP000013922	0.281	0.239
UP000027481	0.224	0.198
UP000204057	0.288	0.243
UP000102041	0.265	0.228
UP000002825	0.28	0.234
UP000014736	0.244	0.207
UP000014727	0.244	0.207
UP000014725	0.242	0.207
UP000014731	0.236	0.201
UP000014737	0.235	0.202
UP000014718	0.205	0.179
UP000014730	0.196	0.169
UP000014711	0.192	0.166
UP000014723	0.186	0.168
UP000014724	0.128	0.128
UP000014732	0.122	0.122
UP000014728	0.236	0.204
UP000014715	0.245	0.212
UP000008167	0.379	0.318
UP000002578	0.258	0.243
UP000002125	0.183	0.175
UP000202940	0.281	0.243
UP000030203	0.219	0.191
UP000030323	0.218	0.192
UP000019156	0.291	0.25
UP000015081	0.287	0.244
UP000019157	0.281	0.241
UP000017651	0.294	0.247
UP000002628	0.328	0.273
UP000031087	0.24	0.198
UP000006092	0.234	0.195
UP000012991	0.229	0.191
UP000031084	0.224	0.19
UP000006460	0.213	0.181
UP000030729	0.211	0.175
UP000030732	0.211	0.176
UP000031082	0.21	0.175
UP000031086	0.208	0.175
UP000030736	0.208	0.173
UP000001043	0.208	0.175
UP000000341	0.207	0.172
UP000031083	0.201	0.17
UP000029357	0.2	0.169
UP000002151	0.198	0.166
UP000006091	0.195	0.167
UP000001240	0.191	0.161
